"Car_name","Make","Car_name_link","Battery","Efficiency","Fast_charge","Price","Range","Top_speed","Acceleration","Price_lambda"
"Tesla Model Y Long Range Dual Motor","Tesla","https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-Dual-Motor",75,172,670,59017,435,217,5,1.41368713872319
"Tesla Model 3","Tesla","https://ev-database.org/car/1991/Tesla-Model-3",57.5,137,700,46220,420,201,6.1,1.41357421814336
"BYD ATTO 3","BYD","https://ev-database.org/car/1782/BYD-ATTO-3",60.5,183,370,44625,330,160,7.3,1.41355632968736
"MG MG4 Electric 64 kWh","MG","https://ev-database.org/car/1708/MG-MG4-Electric-64-kWh",61.7,171,630,39990,360,160,7.9,1.41349752210638
"Tesla Model 3 Long Range Dual Motor","Tesla","https://ev-database.org/car/1992/Tesla-Model-3-Long-Range-Dual-Motor",75,149,780,55220,505,201,4.4,1.413658321243
"Tesla Model Y","Tesla","https://ev-database.org/car/1743/Tesla-Model-Y",57.5,164,580,47567,350,217,6.9,1.41358852410409
"BMW iX xDrive40","BMW","https://ev-database.org/car/1472/BMW-iX-xDrive40",71,197,480,77300,360,200,6.1,1.4137911205363
"Volvo EX30 Single Motor ER","Volvo","https://ev-database.org/car/1910/Volvo-EX30-Single-Motor-ER",64,173,550,41790,370,180,5.3,1.41352168105925
"Citroen e-C3","Citroen","https://ev-database.org/car/2039/Citroen-e-C3",44,176,320,23300,250,135,11,1.41313091178552
"BYD SEAL 82.5 kWh AWD Excellence","BYD","https://ev-database.org/car/2002/BYD-SEAL-825-kWh-AWD-Excellence",82.5,170,530,53668,485,180,3.8,1.41364554632509
"BMW i4 eDrive40","BMW","https://ev-database.org/car/1252/BMW-i4-eDrive40",80.7,157,800,59200,515,190,5.7,1.41368844762798
"Renault Megane E-Tech EV60 220hp","Renault","https://ev-database.org/car/1521/Renault-Megane-E-Tech-EV60-220hp",60,158,530,46600,380,160,7.4,1.41357832541374
"BMW iX1 xDrive30","BMW","https://ev-database.org/car/1701/BMW-iX1-xDrive30",64.7,170,550,55000,380,180,5.6,1.41365654783582
"Hyundai Kona Electric 64 kWh","Hyundai","https://ev-database.org/car/1423/Hyundai-Kona-Electric-64-kWh",64,164,370,42900,390,167,7.9,1.41353571249292
"Tesla Model Y Performance","Tesla","https://ev-database.org/car/1183/Tesla-Model-Y-Performance",75,181,640,63667,415,250,3.7,1.41371839177954
"Kia Niro EV","Kia","https://ev-database.org/car/1666/Kia-Niro-EV",64.8,168,390,45690,385,167,7.8,1.41356839234709
"Tesla Model S Plaid","Tesla","https://ev-database.org/car/1405/Tesla-Model-S-Plaid",95,170,780,110970,560,282,2.1,1.41390269550137
"BMW iX3","BMW","https://ev-database.org/car/1535/BMW-iX3",74,192,520,67300,385,180,6.8,1.4137402213517
"Fiat 500e Hatchback 42 kWh","Fiat","https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh",37.3,159,390,34990,235,150,9,1.41341945580724
"BYD HAN","BYD","https://ev-database.org/car/1784/BYD-HAN",85.4,180,450,70805,475,180,3.9,1.41375945590595
